camera,star,x,y
1,Alioth,764.4861741642592,594.3058192323566
1,Polaris,1789.7020246478874,974.8094190140845
2,Altair,2142.005316792202,594.599025254763
2,Deneb,972.4881573665194,710.9947812123645
3,Arcturus,1434.506109578242,246.4032321639732
3,Spica,847.6932515337423,1098.1118452100047
4,Vega,1193.0,1181.0
4,Cebalrai,2170.220856102004,624.9872495446266
5,Alphecca,1278.0080160320642,719.206012024048
5,Arcturus,1366.3323157435673,1330.2232882686437
6,Altair,155.49756690997566,408.00446066504463
6,Dschubba,2047.722608695652,817.0226086956521
